Dataset,Algorithm,Hypervolume,Spacing,IGD,N_Solutions,Best_Makespan,Best_Cost,Best_Energy
task40,SA_MultiObjective,27292191449.771915,619.3415897523752,918.59205587675,11,116.3193,775.1138,32089.6085
task40,MOWOA,46089945947.47137,199.0689870344674,692.073560662581,36,195.4363,363.806,26472.7332
task40,WOASA,16305426805.26371,407.448932405694,12341.408889833356,3,245.8757,933.8798,45210.1661
task40,WOARDA,33312083274.986343,1386.1785289091495,1005.9769965816013,5,160.4372,658.1268,29086.548
task40,RDA,26270171600.578846,368.9279942208038,1683.6154478164647,9,202.5899,749.0077,33437.3958
task80,SA_MultiObjective,19127088725.133022,1871.2841238129554,25046.552008212322,5,269.931,2080.48,90712.6603
task80,MOWOA,13446789276.744562,0.0,868.7369070711028,100,858.5291,753.7542,66165.0361
task80,WOASA,88333995138.45047,9003.922995434108,2572.1936594396666,4,292.2367,1049.7504,47296.4326
task80,WOARDA,101702407828.38446,767.121458402965,35.179494404886874,27,267.1569,753.7542,49694.7095
task80,RDA,95906620557.70712,2484.385083181266,1258.7005055134077,9,281.6843,1265.1293,50195.6265
task120,SA_MultiObjective,170973953531.3184,2947.561101062482,39631.6779357004,6,447.9862,3446.1244,151871.4343
task120,MOWOA,449710303440.453,222.57065378707176,2595.8488612792376,65,760.0845,1265.1722,106582.4015
task120,WOASA,381237263026.6981,4315.058427012287,16092.945338762225,8,479.8853,2142.3329,127080.4688
task120,WOARDA,466505420024.6323,3034.029498541012,3745.1130273075296,14,375.7643,1727.5415,102522.0468
task120,RDA,286973955699.03,980.5775434134148,17988.454732844315,13,446.9794,2712.0856,129314.1027
task160,SA_MultiObjective,110217432823.43504,1060.242587526647,86399.0899016428,10,623.2067,4187.9152,215569.9036
task160,MOWOA,118765829373.44905,0.0,7322.558824266489,100,1716.0323,1201.145,134990.2734
task160,WOASA,734274015108.105,18741.432285057406,10927.57660029284,6,553.8363,1831.6959,98388.603
task160,WOARDA,1041966613807.5264,1007.3914167193903,230.23196210668826,39,487.9056,1201.145,66599.0097
task160,RDA,736906168024.2781,806.4510889456876,5657.369618580496,17,442.7035,2266.1481,120034.9989
task200,SA_MultiObjective,838440966796.4607,10228.481101177475,62479.97619781687,5,696.1229,5459.1841,250828.2293
task200,MOWOA,3803705046223.6123,286.13255416142556,15483.79786833878,25,1017.5715,1880.4087,166163.5559
task200,WOASA,2546606274704.937,7840.084352985699,8030.6219215296405,14,576.3128,3124.6112,180779.7903
task200,WOARDA,3859417894600.257,3091.3710714109347,2375.0649585663696,21,585.323,1776.299,170520.0581
task200,RDA,1651972158022.6006,11383.553673229684,3303.79437652394,10,500.7947,3463.8242,168696.8239
task240,SA_MultiObjective,634294434772.2908,14750.9165912709,128846.81495345154,6,957.2557,7830.03,347349.1221
task240,MOWOA,5345132339692.497,4862.735226827217,13449.71664457566,28,1373.9354,2276.5786,178241.9408
task240,WOASA,3024608696680.912,8060.221044850558,29939.87434830139,5,899.5382,4392.4074,241464.0758
task240,WOARDA,5870560820984.892,5106.8837460663835,1513.7017810475202,44,734.047,2474.706,155151.1312
task240,RDA,3324178179499.937,3366.078753905506,23874.087016125177,11,663.1079,5045.2949,236042.0641
